Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,Monthly % Change
5/1/92,414.81,12.32,16.77,139.7,7.39,741.83,22.03,29.99,19.66,-1.576625443
6/1/92,408.27,12.32,17.05,140.2,7.26,727.53,21.95,30.38,19.32,1.660665736
7/1/92,415.05,12.34,17.38,140.5,6.84,738.04,21.95,30.9,19.62,0.693892302
8/1/92,417.93,12.37,17.71,140.9,6.59,741.05,21.93,31.4,19.72,0.131600986
9/1/92,418.48,12.4,18.04,141.3,6.42,739.92,21.92,31.9,19.71,-1.428981074
10/1/92,412.5,12.39,18.39,141.8,6.59,726.78,21.82,32.4,19.37,2.506666667
11/1/92,422.84,12.38,18.74,142,6.87,743.95,21.79,32.97,19.83,3.027149749
12/1/92,435.64,12.39,19.09,141.9,6.77,767.01,21.81,33.61,20.45,-0.094114406
1/1/93,435.23,12.41,19.34,142.6,6.6,762.52,21.75,33.88,20.32,1.486570319
2/1/93,441.7,12.45,19.59,143.1,6.26,771.16,21.73,34.2,20.55,1.915327145
3/1/93,450.16,12.48,19.84,143.6,5.98,783.19,21.71,34.52,20.86,-1.572774125
4/1/93,443.08,12.49,19.67,144,5.97,768.73,21.68,34.13,20.46,0.489753543
5/1/93,445.25,12.51,19.5,144.2,6.04,771.42,21.67,33.78,20.52,0.63110612
6/1/93,448.06,12.52,19.33,144.4,5.96,775.22,21.66,33.44,20.61,-0.171851984
7/1/93,447.29,12.52,19.69,144.4,5.81,773.88,21.66,34.07,20.56,1.529209238
8/1/93,454.13,12.52,20.05,144.8,5.68,783.55,21.6,34.59,20.81,1.125228459
9/1/93,459.24,12.52,20.41,145.1,5.36,790.73,21.56,35.14,20.99,1.014719972
10/1/93,463.9,12.54,20.9,145.7,5.33,795.46,21.5,35.84,21.11,-0.217719336
11/1/93,462.89,12.56,21.39,145.8,5.72,793.18,21.52,36.65,21.04,0.661064184
12/1/93,465.95,12.58,21.89,145.8,5.77,798.43,21.56,37.51,21.16,1.510891727
1/1/94,472.99,12.62,22.16,146.2,5.75,808.27,21.57,37.86,21.41,-0.298103554
2/1/94,471.58,12.67,22.43,146.7,5.97,803.12,21.57,38.2,21.26,-1.647652572
3/1/94,463.81,12.71,22.71,147.2,6.48,787.2,21.57,38.54,20.83,-3.574739656
4/1/94,447.23,12.75,23.54,147.4,6.97,758.03,21.62,39.9,20.06,0.820606847
5/1/94,450.9,12.8,24.37,147.5,7.18,763.73,21.68,41.28,20.2,0.871590153
6/1/94,454.83,12.84,25.2,148,7.1,767.79,21.67,42.54,20.29,-0.754127916
7/1/94,451.4,12.87,25.91,148.4,7.3,759.94,21.67,43.62,20.07,2.844483828
8/1/94,464.24,12.9,26.62,149,7.24,778.41,21.63,44.64,20.54,0.585903843
9/1/94,466.96,12.92,27.33,149.4,7.46,780.88,21.61,45.7,20.58,-0.674575981
10/1/94,463.81,13.01,28.42,149.5,7.74,775.09,21.75,47.49,20.4,-0.603695479
11/1/94,461.01,13.1,29.51,149.7,7.96,769.38,21.86,49.25,20.21,-1.2624455
12/1/94,455.19,13.17,30.6,149.7,7.81,759.67,21.98,51.07,19.91,2.210066126
1/1/95,465.25,13.18,31.25,150.3,7.78,773.36,21.91,51.95,20.22,3.583019882
2/1/95,481.92,13.18,31.9,150.9,7.47,797.88,21.82,52.81,20.8,2.330262284
3/1/95,493.15,13.17,32.55,151.4,7.2,813.78,21.73,53.71,21.15,2.993004157
4/1/95,507.91,13.24,33.18,151.9,7.06,835.38,21.78,54.57,21.64,3.130475872
5/1/95,523.81,13.31,33.8,152.2,6.63,859.83,21.84,55.49,22.2,2.966724576
6/1/95,539.35,13.36,34.43,152.5,6.17,883.6,21.89,56.41,22.72,3.341058682
7/1/95,557.37,13.44,34.68,152.5,6.28,913.12,22.02,56.82,23.38,0.312180419
8/1/95,559.11,13.51,34.93,152.9,6.49,913.57,22.08,57.07,23.28,3.516302695
9/1/95,578.77,13.58,35.18,153.2,6.2,943.85,22.15,57.37,23.95,0.717037856
